chapter,length_char,length_word,length_unique_word
0,52,11,10
1,9961,1909,742
2,16500,3196,1048
3,18806,3620,1144
4,14459,2751,941
5,8905,1727,633
6,10663,2106,720
7,11531,2200,819
8,10394,2014,784
9,13029,2515,932
10,17970,3420,1097
11,9221,1817,615
12,12642,2401,860
13,18691,3647,1103
14,11329,2218,806
15,16352,3151,995
16,17607,3425,1033
17,22065,4245,1288
18,12939,2543,845
19,12899,2473,907
20,13783,2700,912
21,15550,2967,1020
22,14142,2736,870
23,10716,2104,769
24,23691,4491,1367
25,35322,7022,1537
26,1418,282,166
