apostrophe,frequency
didn't,399
don't,300
i'm,227
i'd,212
it's,147
wouldn't,138
wasn't,132
that's,129
you're,116
couldn't,102
can't,83
he's,79
i'll,70
she's,68
he'd,63
they're,54
isn't,49
she'd,44
you'd,38
they'd,32
would've,28
god's,28
should've,27
doesn't,27
what's,26
won't,26
c'mon,25
i've,20
've,20
let's,19
weren't,18
hadn't,17
you'll,16
how's,16
somebody's,15
stradlater's,15
who's,13
aren't,13
',13
we'd,12
'bout,12
there's,11
o'clock,11
nobody's,11
shouldn't,11
's,11
nobody'd,10
hell's,9
'em,9
could've,8
here's,8
ernie's,8
phoebe's,8
you've,7
they'll,7
girl's,7
allie's,7
banky's,7
guy's,7
somebody'd,6
guys',6
what'd,6
must've,6
it'll,6
ely's,6
what're,6
it'd,6
sally's,6
haven't,5
everybody's,5
hasn't,5
hound's,5
don'tcha,5
people's,5
we'll,5
kid's,5
he'll,5
g'night,5
antolini's,5
'digression,5
spencer'd,4
else's,4
other's,4
father's,4
we're,3
where's,3
how'd,3
morrow's,3
jane's,3
mother'd,3
phoebe'd,3
can'tcha,3
girls',3
ain't,3
thing's,3
she'll,3
stuff's,3
dicksteins',3
daddy'll,3
'if,3
principal's,3
horse's,2
spencer's,2
m'boy,2
roommate's,2
everything's,2
ackley'd,2
how'sa,2
governor's,2
where'd,2
car's,2
women's,2
woman's,2
caulfield's,2
what'sa,2
to've,2
who'd,2
nothing's,2
they've,2
comin',2
we've,2
hayes's,2
lady's,2
walsh's,2
alec's,2
mother's,2
luce'd,2
'er,2
veterans',2
daddy's,2
rye',2
now's,2
uncle's,2
that'd,2
headmaster's,1
witch's,1
camel's,1
how've,1
something's,1
boy's,1
wife'll,1
cryin',1
'ackley,1
'listen,1
'song,1
goin',1
need's,1
where'dja,1
thaw's,1
caddy'd,1
cousin's,1
fielder's,1
janitor's,1
y'awake,1
'no,1
there'd,1
ackley's,1
hoffman's,1
thurmer's,1
spaulding's,1
grandmother'd,1
stradlater'd,1
davids',1
ernest's,1
morrow'll,1
gallagher's,1
band's,1
birdsell's,1
bein',1
tomorrow's,1
callin',1
tonight's,1
a's,1
baker's,1
phoebe'll,1
man's,1
waiter's,1
driver's,1
buyin',1
everybody'll,1
with's,1
ones',1
singer's,1
someone'd,1
york's,1
nothin's,1
lake's,1
ain'tcha,1
nature'd,1
who've,1
crook's,1
t'night,1
y'innarested,1
blame'll,1
heck's,1
douglas's,1
sleepin',1
fallon's,1
bobby's,1
nothin',1
operator's,1
roughin',1
takin',1
hurtin',1
'maurice,1
king's,1
juliet's,1
romeo's,1
aunt's,1
actor's,1
ophelia's,1
lunts',1
callon's,1
prob'ly,1
hair's,1
boys',1
there'll,1
so's,1
brother's,1
blow's,1
who're,1
'philosophy,1
why's,1
rocky's,1
men's,1
mob'd,1
weather's,1
soul's,1
sun's,1
superintendent's,1
closet's,1
anybody's,1
home7',1
'a,1
child's,1
class's,1
why'd,1
grandfather's,1
stabile's,1
castle's,1
that're,1
alice's,1
holden'll,1
wait'll,1
coffee's,1
'it,1
arrangement's,1
'the,1
how're,1
antolini'd,1
g'by,1
certainly'd,1
it'sort,1
bloomingdale's,1
everybody'd,1
whoever'd,1
where're,1
t'day,1
pharaoh's,1
somebody'll,1
lions',1
ladies',1
